target_initial_acceptance,outside_utility,scenario,metric,estimate,ci_low,ci_high,actual_acceptance_rate,mean_cumulative_acceptances
0.1,6.526023986424852,ai_appreciation,LMC,-0.0008171026653879574,-0.0032533626487305446,0.0014418528410300698,0.10103999999999996,90.936
0.1,6.526023986424852,moderate_asymmetric,LMC,0.0005959543942311232,-0.0019698423258309172,0.0024517045210959002,0.09219999999999995,82.98
0.1,6.526023986424852,strong_premium_penalty,LMC,0.0022711228016771023,0.00030982128356549845,0.003964142758387897,0.09461333333333331,85.152
0.1,6.526023986424852,zero,zero_branch_difference,0.0008191179075054343,-0.0016344423295787335,0.003857892250331236,0.0960222222222222,86.42
0.2,5.713364208471231,ai_appreciation,LMC,-0.0014420788758336507,-0.0034893508371328756,0.0006115259170403841,0.2013555555555555,181.22
0.2,5.713364208471231,moderate_asymmetric,LMC,0.002624965125063967,6.233175471705396e-05,0.005538093532995934,0.1872622222222222,168.536
0.2,5.713364208471231,strong_premium_penalty,LMC,0.005271701392855365,0.002514260901141413,0.007957266798898471,0.19124888888888883,172.124
0.2,5.713364208471231,zero,zero_branch_difference,0.0009413282565654957,-0.0030337663107258125,0.004262018798903949,0.19417777777777775,174.76
0.4,4.729528196444637,ai_appreciation,LMC,-0.0026252624878010805,-0.006931544689585945,0.0016186269650922769,0.4085466666666666,367.692
0.4,4.729528196444637,moderate_asymmetric,LMC,0.006711376032662534,0.0028708028411362605,0.010894101697980106,0.3844977777777777,346.048
0.4,4.729528196444637,strong_premium_penalty,LMC,0.01147199158520446,0.007283187704391507,0.01602302528483909,0.39125333333333334,352.128
0.4,4.729528196444637,zero,zero_branch_difference,0.0006829048155582771,-0.005067193583667853,0.006041174291548531,0.3962222222222222,356.6
